Comment,Hatespeech
"JT palanki ruskynui, tai tegul susikisa kritika 😉",No
Gyvena ruskiai Lietuvoje - ir koks stebuklas...Nemoka lietuviškai kalbėti. Nors 40- 50 metų pragyventa...,No
"Gėda,Orkams ne vieta Olimpiadoj🇷🇺🐓🐓🐓🐓🐓🦍🦍🦍🦍🦍🦍💩💩💩💩💩💩",No
"Ačiū už tiesą ir drąsą. Manau, kad ateis laikas prie panašaus sąrašo prijungti ir litvakus, jau daugiau, kaip trisdešimt metų siaubiančius Lietuvą.",No
"Manau, kad Lietuva išvalyti nuo žydų gali tik rusai. Todėl ir zviegia zydelkos, kad rusai puola.",Yes
Zydiskos lervos naikina Lietuva. Tokios neturėtų patekti į valdžią.,Yes
"Visa oficiali žmonijos “istorija”-atviras žydaujos melas:

sunaikinta-tiesa.jimdo.com/blog",No
"Kada nustos žydai lobti iš žmonių kartos, kuri tą holokausta žino, tiek pat, kaip amerikonai išnaikino indėnus, vokiečiai – prūsus, ar koks Vytautas didysis buvo Lietuvos valdovas. Tai jau istorija ir nereikė Lietuviškos žemėlės darkyti žydų kaulais, nes ji visa nuklota buvusių kovų kaulais.",No
patys zydai ir padare. dabar sokdins visa lietuva.,No
"nepatinka,,,- vaziuokit i Tevyne,,,
zydomasonu politikos deka, 30% lietuviu buvo priversti palikti savo Tevyne.",No
"Kanovicius gerai zino kaip zydai nekencia lietuviu. Kaip juokiamasi is Lietuviu, ir kaip tarp saves joe kalba apie lietuvius.
Kanovicius kad jaustusi saugiai tures isvykti pasiemes jau sukrautus lagaminus I savaja zydu sali, ten bus gal saugu.
Taip geriau nei baimeje gyventi ir nieko daugiau nedaryti tik parazituoti Lietuvoje.
Swastika igis savo originalia reiksme gyvenimo.
Turkai virte zydais pries simtmecius nenustoja kenkti kitoms tautoms. Kur tik jie ten salis sugriauta, sugadinta, isplesta, paskleista neapykanta, zmogaus nuzeminta verte.",No
Žydai jokie nebroliai mums. Kaimynai ir tai nelabai mėgstami.,No
"Taip zydai daro moralini spaudima prezidentui Nausedai. Prezidente, ka pasirinksi – savo tauta ar isgamas sionistus?",No
"Tu paprastam žydui gojus. Tai skelbiama sinagogose. Ir meldžiamasi už žydus , ne Lietuva, už savus kurie sėdi Lietuvos valdžioje ir kitu šalių valdžiose! Tai nacionalizmas.",No
"Aš tau jau sakiau – išsikratyk sionistinius kliedesius iš galvos. Jungtinės tautos sionizmą buvo pripažinusios viena iš rasizmo formų, bet kai neliko TSRS, tai sionistai paėmė revanšą ir šią rezoliuciją atšaukė.",No
Zydai mus keikia o mes juos sveikinam😂,No
Tegul nepamiršta žydų skuduro išlaižyti…,No
"Gal dvigubų standartų taikytojai galėtų paaiškinti, kuo skiriasi žydai okupantai nuo rusų okupantų? Kodėl sprogdinti dronais rusus okupantus yra gerai, o sprogdinti žydus okupantus yra blogai?",No
šaunuolis Sakalas gana čia snarglėtis prieš žydus.,No
"valytis reikia nuo tu padugniu ispieru zydisku,o ne laukti ju atsiprasymo.vyt VON kuo greiciau.",Yes
"Na gi ne šiaip sau čia tas puolimas Lietuvos, likę gyvi žydų KGBistai ir jų palikuonys labai bijo atpildo…",No
"Atrodo žydai gabūs skaičiuoti pinigus, tai būtų galima tikėtis, kad moka gerai aritmetiką. Iš straipsnio aiškėja, kad buvo sunaikinta 53,3% (remiuosi Niunbergo duomenimis) Lietuvos žydų, o žydai pastoviai įvardija 90% sunaikintų žydų. Štai ir aiškėja melas, nes, galima spėti, jie patys planuoja sunaikinti jei ne visus, tai 90% palestiniečių ir nereikės tada jokios Palestinos valstybės, o žemės atiteks Izraeliui.",No
Kol to žydpalaikiu kgb pasmirdusio senpalaikio niekas nesutvarkys tol ir žydams ir visai LT mafijai mokesim kol alsuosim.,No
Kada tie žydai priris jiems mažai ir mažai ir visas pasaulis jiems skolingas,No
Ar žydui kada gana turto? 🙂,No
Reik vel hitlerio nieko nebus kuo toliau tuo graziau 😂😂,No
"Niekaip vokietukai nepasimoko. Du kart gavo į kaulus ir vistiek nori kišti nagus prie išteklių rytų… Pergalės nebus – nušluos viską nuo paviršiaus, prie to pačio ir patį didžiausią planetos kenkėją žmogų. Čia didžiausia problema, kad susistaromi vadovavimui idiotai ir jie dirba taip kaip moka. Karai to pasekoje ir kyla. Taip kad istorija kartojasi, tik tada beždžionės neturėjo atominio ginklo, daba turi. AMEN",No
"vokietis, tai dar kaip vokietis, bet litofcai ziauriai drasus ir nagli :/",No
"... lai ukrai atsako, kodėl sudegino gyvus Odesoje, kodėl 8-erius metus žudė Donbasą, kodėl kalėjimuose laiko žmones be teismo ir be kaltės, kodėl nužudė Olesių Buziną ... ir nieks nenuteistas ... kodėl Ukrainoje gaudomi žmonės ir siunčiami į frontą, kaip mėsa ... kad praturtėti, pasisavinus išmokas žuvusiųjų šeimoms ??? šiandien ukrų rankomis žudoma ne tik Ukraina - žudoma ir Rusija, ir Europa, ir Lietuva ... ir tik todėl, kad Rotšildams, korporacijoms, sorošams ir švabams reikalinga pokario realybė, kada galės įgyvendinti dar vieną Maršalo planą ir dar labiau pralobti ... viskas ...",No
"Ukronaciką atsiuntė vadovauti lietuviukams. Sena nacių technologija: baudžiamieji būriai siunčiami žudyti į kitas teritorijas: ukrai baltarusius, kaip ir lietuviai, latviai rusus, estai lietuviškus žydus, lenkai ukrus ir atvirkščiai.",No
"puikus problemos esmės pakapstymas - šizoukrainos temoje, kur nepažvelgsi, visur maitvanagystės dvokas - tiek su padugnėm oligarchais, tiek su pramonės nudegradinimu ir sunaikinimu, tiek su kosmine korupcija ir patrydiotiniu nacistiniu marazmu, tiek su agrarinio sektoriaus downgradinimu ir išeksploatavimu, tiek su totaliniu, diktatūriniu, totalitariniu, - netgi fašistiniu veršiuomenės smegenų plovimu, tiek su bet kokio blaivaus proto išgvaltavojimu",No
"... ukrams tikrai duos Nobelio premiją ... ar kas nors dar moka, neturėdamas žemės, išauginti gausų grūdų derlių ????",No
"beje: liko nepastebėtas tas faktas, kad naujoji polska vyriausybė likvidavo komisiją, tyrusią smolensko tragediją, kai per lėktuvo katastrofą, beveikbaklai leidžiantis per baisinį rūką, žuvo kone pusė polska valžiagyvių grietinėlės ..., - konstatuota, kad komisija, malusi šūdą niolika metų ir prašikusi kalną babkių, užsiiėminėjo faktų falsifikacija, tikslu apkaltinti rusiją suorganizavus lėktuvo nusijoblinimą kartu su visa rusofobine kačinskio banda, bo neva rusijai iš to atsitiko didelė laimė :))))) - gražu, kai polskiškų rusofobinių kekšių pjautynėse netikėtai laimi tiesa ir teisingumas :) - bent jau šitas debiliškas rusijos demonizavimo įrankis su ta katastrofa, pagaliau išimtas iš nukvakusių polska valdžiagyvių iškrypėliško moralinio sekso žaislų kolekcijos :)

",No
"Rusu kariai naikindami nacius ir benderovcus dar ir uždirbs premijinius. Nacionalistai - virs į trąšas saulėgražoms, o rusams - pinigai į kišenę. Teisingas žingsnis. Призванным по частичной мобилизации пообещали денежное вознаграждение за уничтожение и захват украинской военной техники, сообщил телеканал «Звезда». За сбитый самолет положено ₽300 тыс., за вертолет ₽200 тыс., за танк - ₽100 тыс. За уничтожение БТР, Самоходной артиллерийской установки, системы С-300, «Бук», «Тор» или боевой машина РСЗО пообещали по ₽50 тыс.",No
"Jei kas ir išprovokuos karą Europoje, tai jį išprovokuos ne jankiai ar britai tiesiogiai, o jų kuruojami kvailiai... O po to bankyrai Volstryte ir Sityje vėl pavargs skaičiuoti pinigus... Kaip ir abiejų pasaulinių karų eigoje.",No
"eilinį kartą ukrai šaudo dievui į langus. Matyt turi pinigų kompensacijoms. Gi pvz. pas juos jau buvo, kai per raketos bandymus nupliekė keleivinį lėktuvėlį.",No
".. Zlugs amerikonizmo dievazudziu farizieju -sadukeju keslai uzvaldyti pasauli, pasigrobti Zemes lobiu skrynios raktus...""",No
kas tie kartveliečiai-marsiečių rūšis?,No
"... tai pas ukrus karas, ar jau ne, jeigu Blinkenas ne tik lankosi Kijeve bare, bet dar ir dainuoja... o jeigu rimtai, tai ar kada nors buvo Ukraina vieninga, jeigu baruose s4dinti vakarų Ukraina nesugebėjo ištieti pagalbos rankos tautiečiams ir šie užplūdo vakarų Europą... gal jau nebereikia ieškoti smegenų ne toje vietoje ir pabaigti pagalbas/pinigų plovimą ukrams... aferos sumanytojams teks atsakyti ir panašu, kad labai greitai...",No
"KGB bažnytininkus senai laikas vyti lauk iš Lietuvos , jie patys yra negaliojantys .",No
"Rusų kunigai pripazįsta tik putino įsakus, ne Konstantinopolio. patriarcho..
Tuo tarpu cerkvese Lietuvoje vis tiek kasdien meldziasi už patriarchą Kirilą.",No
"Kirilas minimas, ir to užtenka. Lietuvos pravoslavai meldžiasi už žudikų laimintoją.
Jums čia viskas ok?",No
"Lietuvos stačiatikių arkivyskupija gi ištikima savo dievui putinui ir savo vadui kirilui. Tai yra prostitučių lizdas, kurios narius reikia išsiųsti į savo numylėtają rosiją, jie su Dievu neturi nieko bendro tai - FSB agentai, melagiai, kraujo ištroškę orkų burtininkai.",No
"Vyti iš šalies, tuos kgbistus su nusenusiais ale patriarchais.",No
"Tai taip išeina, kad Konstatinopoilis susipainiojo, kas kur kame, ar čia tik žurnalistika beletristikas rašo? Jei jau Kontstantinopolis eina išvien su FSB agentūra įforminta kaip moskovijos patriarchatas, na tada nežinau, gėda visam ortodoksų pasauliui... gėdą visiems ortodoksams turėtų būti.",No
"Per tokius karūnuotus asilus, aferistus prisidengusius sutanom, praeina bet koks noras lankytis bažnyčioje.",No
"Tai pats eik ir kariauk, ko čia pezi. Kam tarnauji, Putinui ar dievui? Dievas to tikrai nenorėtų. Gėda rusams turėti tokį ""šudą"", kaip tu.Nusimauk aprangą ir tada atstovauk savo Putiną!!!",No
"D E B I L A S tu kirilai, dar I Š S I G I M Ė L I S.",No
"Kremliaus pinigo mylėtojas labiau nei debilas, o kad išsigimėlis - tai točnai!",No
Jie važiuoja pulti kitos šalies gyventojus ir juos žudyti apie ką kalba šitas šėtonas su sutana,No
Šis dvasininkas matyt dirba už putkos pinigus.Manau jo net į pragarą nepriims.,No
"Tavo nuodėmių, šventasis tėveli, jau niekas nenuplaus...",No
"Čia panašu i alkaide jau ,alahas su jumis",No
"nieko stebinancio kgb popo pareiskimose.viso pasaulio teroristai ir autokratai(gal tik ne iljycius ir stalinas,kurie cerkves sprogdino)prisidenginejo Dievo vardu.tik kad Dievas niekuo detas,kad sis sugyvulejes pasaulis Jo vardu naudojasi.",No
Tik kvailiai gali tikėt kažkokiais pedofilais ir iškrypėliais bei jų visokiais jėzais ir chujėzais,Yes
Regis ponas su sceniniu pseudonimu Amvrosijus kartus su savo (Amv)Rossija eina paskui rusų karinį laivą. Konstantinopolio patriarcho sprendimai nesvarstomi.,No
"Lietuvos stačiatikių bažnyčia pavaldi Maskvai,tai ir groja pagal ją.",No
"Kai Lietuvos stačiatikių bažnyčia atsiskirs nuo Maskvos RPC/FSB, tada galės kažką kalbėt. O dabar - meluoja ir neraudonuoja.",No
"Manipuliatorius-jie visi (putleris,gundiajevas) prieš karą ir aišku visi už taiką!Bet šitie popai niekada nepasakys,kad Putinas teroristas,Rusija-teroristinė valstybė ir kirilas-teroristų palaikytojas.",No
Tai Rusijos terorizmą Ukrainoje remianti organizacija.,No
"Fašizmą remianti organizacija,. kad ir religinė, laisvai demonstruoja Lietuvos sostinėje?!",No
Da Zdrastvuet ruskij myr! Ura tovar išties! 😃,No
KGB agento gunios tik truksta,No
"Vargu ar rasi Lietuvoj stačiatikį, kad nebutų vatnykas.",No
"Tikrai. Ši karta pritariu Šimašiui. Nereikia mums tokiu stačiatikių kunigu, kurie priklauso karo kurstytojų Maskvos bažnyčios atstovams.",No
"Saugumo tarnybos turėtųų išsamiai patikrinti rusų cerkves Lietuvoje, Ukrainoje tokios buvo prikištos pilnos ginklų !!!",No
"Jau matem realu pavyzdi kuo karo metu momentaliai virto didzioji dauguma Maskvos patriarchato staciatikiu cerkviu ir popai. Koloborantu, propagandos ir fsb irstvomis. Mokytis reikia is svetimu klaidu.",No
Puikus sprendimas. Maskvos staciatikiu balsas nieko vertas.,No
"Tai jokia Lietuvos stačiatikių bažnyčia-tai Kremliaus religinių reikalų filialas,kuriam vadovauja FSB generolas Gundiajevas.",No
"""Tie stačiatikių kunigai, kurie net gyvendami laisvoje Lietuvoje paklūsta Kremliaus agresiją laiminančiam Maskvos blogio vyskupui Kirilui, į renginį, be abejo, nekviečiami ir nepageidaujami""
Jei šis teiginys papiktino, tai vadinasi tiesa, kad jiem visiem paskui karinį laivą, čia ir dabar.
Ką veikia Lietuvoje terorizmą palaikanti organizacija, kuri net neslepia to?",No
Ne stačiatikiai o fanatikai maskvatikiai,No
"šaunuolis Šimašius-to dar betrūko kad maskvos stačiavelnių satanistų sektos vadeiva, ateistas kgbistas kirilas gundejevas ar jo koks kgbistas pomošnykas tyčiotųsi iš Kalėdų pravoslavų...ta maskvos sekta neturi nieko bendro su pravoslavais, tik bendro su kgbistais-pravoslavai pavaldūs Konstantinopolio sinodui, kad ir Ukrainos pravoslavų bažnyčia.",No
"Sektantai. Religiniai karai, patys žiauriausi karai.",No
Lietuvos stačiatikių bažnyčia yra veidmainiai kaip ir jų kirilas,No
"Kaip nebūtų graudu,Rusijoje stačiatikių bažnyčia neatsilaikė prieš bolševikus ir jau daug metų bendradarbiauja ranka rankon.Tai ypač aiškiai pasimatė šiais metais ir tapo aišku visiems bent kiek mąstantiems🤔.",No
"Religiniai fanatikai (nesvarbu pagal kuria knyga meldziasi) neturetu kistis i valstybes valdyma. Nesakau, kad sutinku su Setonytes pezalais. Bet is maldos namu turetu tik maldos ir girdetis.",No
Tos fašistų sektos dar neuždaudė? Gėda Lietuvai!,No
Lietuvos staciatikiai priklusomi nuo z,No
Veidmainiai. Verti tik paniekos.,No
Lauk iš Lietuvos tuos fsb filialo barzdočius.,No
"Tik prasidėjus karui,reikėjo uždrausti FSB filialą Lietuvoje,visiems laikams.",No
"Stačiatikių bažnyčia tarnauja putinui, tai tequl varo iš Lietuvos į savo rusyną.🇱🇹🇱🇹🇱🇹🇱🇹🇺🇦🇺🇦",No
Linkėjimus KGB kirilo cerkvės fanams siunčia jųjų “Dievo” tarnas:,No
Ir rassa ir tą jų stačiatikių bažnyčia gali tik uostiti kabančius,No
Peralkę šventieji kanibalai užspringo nuo ukrainietiškos žmogienos.,No
Išsigimė ir tie stačiatikiai...kur Dievo nežudyk!,No
"O ar jūs girdėjot kaip ten ar meldės ,pakarti reik visus ir putiną ir karo kurstytojus...",No
Tai tada gal reikia uždrausti rusų stačiatikių bažnyčią?  Ko jie čia mūsų žemėje mums karą skelbia?,No
Taip kalba islamo teroristai,Yes
Kokia ten bažnyčia🫣 putlerio subinlaižių lia šventas projektas🤪,No
KKB.ENKVD.fašisyai.,No
Štai ir parodė stačiatikių bsžnyčios tarnas savo tikrąjį veidą - nemuiluotas Putinui šik....non lenda,No
Stipsit padlos patys,No
Alach Akbar,No
"Gal visiems musulmonams reikia suvokti ,kad gyvena ne musulmoniškose valstybėse.okam nepatinka tegul grįžta i savo šalis.o ištikto musulmonai patys padare kad jų nemėgtų.nes visi teroristai yra musulmonai.",Yes
Visus visus musulmonus street ten is kur atvyko,No
"Ne visi musulmonai yra teroristai... Tik baisu, o kaip atskirt bloga nuo gero?
Pamenu ziurejau pati baisiausia kada nors matyta filma ""Darfuras"" Tai po to karto totaliai pasislykstejau sia religija... Jie ne tik baisus, bet idiotai, rasistai.
Zudydavo del spalvos ir visai nesvarbu, kad tas rudesnis lygiai taip pat saukia Alacha.. Fuj... Beje stebiu uzsienio naujienas tai man baisu kokias fotkes as matau... Vaikai su motinom, mociutes, tevai kurie gina ne sali, bet savo seima-guli visi susaudyti! Uiui...",No
"Jeigu padetu tai keliais nušliauščiau pas ta alacha ir paprašyčiau kad išsivestu visus tuos dvasios ubagus iš europos,europos minkšta,,,,,iai vadai labiau rūpinasi gyvūnais negu savo žmonemis,",No
"tegul tie muslimai pirma rengiasi ir elgiasi kaip normalus europieciai jeigu jau cia atvyko, o dabar verkia nes neleidziama jiems issiskirti is kitu",No
Taip musulmone. Tu esi neapykantos taikinys. Nekenciu musulmonu ir esu rasistas.,Yes
"O mane žeidžia kai mane laiko kvailiu, kad nesimeldžiu arabų mėnulio dievui ir negarbinu apsišaukėlio pranašo. Ir kas diena po kelis kartus išvadina besimelsdami mus visus netikėliais. Ir taip daro kiekvienas save vadinantis musulmonu.",No
"Mes čia jūsų nekviečiam , o jei atėjot, gyvenkit pagal mūsų taisykles, ir elkitės kaip žmonės o ne laukiniai, AČIŪ",No
kol lietuviai pripras prie musulmonu dar dauk kraujo nutekes cia ira lietuva ir nenorekit kad jus musulmonai jaustumetes kaip savo namuose lietuva lietuviams grinakraujams o ne maisitiems,No
Jie laukinei .Gerbia moteris jes saugo akmenim užmėto negalima jiu isileist jie ne lietuvei europa ne kalifatas nepatinka važiuok namo jei esi lietuvis musulmonas tai tu vargu ar lietuvis,No
"Rasyk sms jei nori zinutes perdavinet, niekam tavo nuomone cia neidomi. jus ir megaukites savo iskrypusia realigija...",No
Negalima tikėti ne vieno musulmono ne vienam žodžiui. Suprantate angliškai? Įkalkite sau į galvas! http://www.raymondibrahim.com/in-the.../the-taqiyya-factor/,No
Gimes musulmonu kitaip ir nebusi vadinamas... ne vieta babajams Lietuvoj,Yes
"As jais nebetikiu, nekalbant a pie terorus yra daug nesuvokiamu dalyku, poziuris i moteri,mergaiciu operavimas kaip teko skaityti kazkas baisaus ir t.t.",No
Atsiverte bl i isIama ir krv visi dabar pries ja klauptis turi… 🤣 Suteikit kas nors gydyma jai…. 🙂,No
"Tuoj jie bus nepatenkinti kad ir “Sharia”istatymas Lietuvoj nepriimtinas ruoskites verslininku godumas ir politiku kvailumas prazudys ta vargse Lietuva 😞 o Dianai sio straipsnio herojai tiesiog patinka analinis, nes kaip ten musulmonai sako, dziundze Tik vaikam gimdyt 🤷‍♂️😊",No
Čia kurie musulmonai. Tie kur su prius bando visus iš kantrybės išvesti ar dar kažkokių yra? Ir prašytumem laikytis mūsų tradicijų o ne primesti savo ir po to skųstis. Visada galite grįžti į tradicijų ištakų vietovę,No
Von lauk visus,No
"Na, dar musulmonijam Lietuvą, tai kas trečia moteris vaikščios juodai apsigobus nuo galvos iki kojų, dar sugalvokite džigadą, tai lietuvių visai neliks, ką sugeba musulmonai visiems žinoma.",Yes
"Lietuva lietuviams ,nepatenkinti muslinai lai pisa nx į savo šalis nedarę Lietuvoj bardako!!!",No
"Kokie jus atsilupelei""musulmonai neturi nieko bendro su terorizmu""""teroristai tik prisidenge religija""pizda jus daunai,atsiciuxinket,ju dauggeja ir greit iseit i parduotuve nrbus saugu nes muslimai visur begios.zmones atsiciuxinkit neduokit jaims laisves.nebutina juos zudit ar kaska panasaus.neisileiskit juos pas save",No
"bėda ne tautybėje, o tiesiog jis matydavo pavyzdį tv kaip tie visi džihadistai šaudo, užpuola sprogdina ir gal jo pasąmonėje kažkas įvyko ir jis pagalvojo, kad taip galima, mažiau tų alach achbar rodysit per tv ilgiau gyvensit, užtenka rodyt tą šlamštą ir po to visi stebimės išsižioję kodėl tai vyksta. Europa juos įsileidžia dėl to, kad jų šalyje vyksta karai ir žūsta daug žmonių ne visi tie pabėgeliai yra blogi, tik neparodo tų kurie įsikūrė ir yra laimingi ir jiems gerai,kad jų šeimos dabar saugios, aplink visur rodo tik blogį ir kad visiem susidarytų įspūdis, kad ten kur musulmonas lauk bėdų ir karo....",No
Honkongo piliečiai sužeisti?nesvarbu ką žudo jau svarbu žudyti. Toks malonumas matyt,No
negali visu isvyt i ju ta jabana afganistana ar laukia kol visus patvarkys....,No
"Prisileidom islamistų, tai dabar nebespėjam reikšti užuojautas kasdien....",No
Dalbajobai kas sedi euro parlamente. Tegul prisiima atsakomybe uz visa sita jei jau ileidineja tuos purvinus laukinius !,No
"Žygimantas Žiaugra kaip tau? ir vel islamas, ir vel supisti tolimieji rytai ir vel kurva refugees. kaip kovot su jais?",No
"Tuos visus alach albar rinkt i vagonus, bes kitaip nieko nebus..",No
Reiktų Hitlerio metodus taikyt tiem afganam ir islamistam,No
"Dar vienas musulmoniškas šūdžius.
Na, liberastai su tolerastais, papasakokit man apie islamą - taikos religiją, tuoj tik popkorno pasiimsiu... 🙂",No
"Tik simpatizuojantis musulmonams debilas gali nesuprasti, kad nekontroliuojami svetimos, tamsuoliškumą kultivuojančios ir anaiptol ne taikios religijos nešėjai, ieškodami naudos, nekontroliuojamais srautais plūstantys į absoliučiai su jais nesuderinamą visuomenę, kelia rimtą grėsmę tai visuomenei. Ir tai visai nejuokinga, nes būtent tokiais debilais musulmonai ir naudojasi saviems tikslams - ieškoti naudos ir plėsti islamo kontroliuojamą teritoriją.
O aiškintis kuris ten teroristas, kuris ne - nėra prasmės, nei galimybių. Čia jų problema - išsirankioti teroristus iš savo tarpo, kad nemestų šešėlio visai musulmoniškai bendruomenei. Bet jie to nedaro ir nelabai net skuba smerkti tokius, tiesiog tyli. Protingiems žmonėms tai kelia minčių, kvailiams gi emocijos protą atstoja...",No
Kas pasikviete i Europa tuos smirdzius???????? ..as?? Jus???.. as ju nekvieciau..Dekokime dabar Mutti Merkel,No
per patrankos suvi nuo civilizacijos tuos brudus,No
Viskas Norma daugiau muslu ileiskit,No
Vyt padlas atgal i savo dykumas ir aptvert kad atgal negryžtu..,No
Patys kalti kad isgamas isileidzia pas mus lt ir taio bus,No
Ištremti reikia visus tuos urodus!,No
"Na jei nepatink babajam, grust juos i ju salis atgal ,tegul kerta savo lepioskes is miltu ir vandens ...jau pradeda uzknisti tie ju nepasitenkinimai...",No
"Na, ir viena vieta jiems į akį... Nematau dėl ko turime nuolaidžiauti tiems, kurių didžioji dalis net apie tualetinį popierių nėra girdėjusi...",No
"Bybis tiems muslimams siknon,tegul vaziuoja I savo muslimija ir ten reiskia savo nepasitenkinimus",No
"Aplamai ju niekas nelaiko europoj,tegul vaziuoja namo,ten nera nei eglutes nei kalakuto😆",No
"Bezdziones I darba ,o mes svesim kaledas ir visiem gerai.",No
"Babajai negeria, nesipisa, kiaulienos nevalgo. Per ramadana tik vandeniu minta 😂😂 isverstai skambetu: vienaragiai, drakonai, elfai gyvi, kitaip tariant pasakos. O ju paciu zodziais: saule nusileido- alachas nemato...",No
Išsigimeliai islamistai 😂😂,No
Tesco europos tinkas kur krikscionys katalikai gyvena o musulmonai ir kitos xuinios gyvena medziuose afrikoj ir valgo bananus.,No
Kas blogiau uz zurnalista ? Musulmonas zurnalistas.,No
babuinai xaxaxaxaaaaaaaaaa,No
Susisprogdins dabar prie tesco😂,No
Truksta Hitlerio mum..Isvalytu Europa nuo tu gyvuliu musulmonu.,Yes
pajusk Jėzaus ranką - naujas bažnyčios moto.,No
"Išklausęs išpažintį kunigas užplos pagal nuopelnus kelis kartus per sėdynę ir atgaila atlikta.
Modernu, greit ir gerai😊",No
"Chaliavčikai  ir taip jie visada buvo, nei už elektra nei mokesčių jokių moka. o dabar dar ir kainoraštį pasidarė😅 mieli bažnytininkai- nemokėti mokesčių yra labai krikščioniškas bruožas.😂😂😂",No
as pavadinciau ne kunigais .o verslininkais vengianciais moketi mokescius 😉,No
"Nėra ko stebėtis, bažnyčia yra didžiausia mafija pasaulyje.",No
"Bažnyčia, tai legali mafija, kuri ima pinigus už nieką ir mokesčių nemoka.",No
Ką tie verslininkai ir pedofilai vėl prisigalvojo?,No
Kunigai dar blogesni uz politikus...,No
Kunigėliams naujų teslų reikia o gal ir lėktuvėlio kad dievulio žodį būtu galima greičiau skleisti 💩,No
Bažnyčios didziausia legali pinigų plovykla,No
Nepamirskit .Reketavimas prasidejo nuo viskupijos,No
Baznytine mafija reketuoja 🤔 bet cia legalu 😱,No
Aferistai ir vagys tie bažnyčiotojai. Tiek ir aniek žinau... Nagli kai tankai lupa pinigus ir už ką? Už kliedesius 🤦🤮,No
sekta,No
Pedofiline organizacija 🙄,Yes
"Niekas taip vaikų ,, neišnaudoja,, kaip dvasininkai🥲🥲🥲",No
"Iskastruot juos visus reiketu pries isleidziant is seminarijos,gal tada ir tarnautu dievui,o ne savo geismams",Yes
"Nu pas tuos kataliku šventabeždžius iškrypeliu ,velniū visokiu, išsigimeliu!!!",No
"nu o tu pedofilu kunigų gerbėjas 💩ar žinojai kad Vatikanas sumokėjo 2 milijardus šeimoms kurių vaikus prievartavo kunigai tik jie nesėdi kalėjimuose o perkeliami dirbti iš vienos valstijos į kitą arba į kitas valstybes juk krikščionybė tokia paplitusi, nuvažiuok į Vatikaną ir pasižiūrėk į altorių pagrindinį ka ten garbini 😈",No
"Reikėtų Lietuvoje tyrimą padaryti,dar kokį ir viešnamį rastų.Bažnyčia vienas iškrypimas visais atžvilgiais.",No
Dar vieną klaną reikia naikinti,No
Пусть становятся евнухами. И проблем не будет,No
Velnio irstva tegul papucia I subine ir dalina milionus savo....... Kurie neatpirks zalos.,No
"Reikia ystatima išleisti, ksip aukotis prieš žmoniją tapdami kunigų, atlikti kastracija juk šventam darbui tai netrukdo , ir ramybė visiem, Ale liuja.",Yes
ot gera tema palietem as augusi ju aplinkoj nes mano A A Tevas dirbo zakristijonu Pazaislyje Vabalninke labai viska zinau is vidaus isnaudotoju klanas dar vienas amzinas verslas,No
Visi jie velnio isperos,No
Kaip dar gali kas jais tiket. Didziausia mafija.,No
Baisu kas su jais darosi...b...y ant kaladės ir su kirviu šmakšt...,No
"Didziausi aferistai man yra visi sitie sventieji, kurie ne tokie ir sventi kaip matom.",No
pedofilu klanas,No
VELNYNAS,No
Prakeikti pedofilai jus ten visį!,No
"Aš ųž Mirties bausme.Uz tokius reikalus.Vaiku psichika ,sugadinta visam gyvenimui.",No
Pagrindinis atgailauja už visus pedikus,No
"Zertwos jabani nesikeikus
",No
Ant virves tokius!!!,No
Bažnycia ne parudijusi.Ji supuvusi.,No
Kas tas kunigas kodėl jis turi mano išdaigas išklausyti fu nesąmonė tinginiai ir iškrypėliai na ne visi,No
"Kataliku bažnyčia,tai pati seniause sekta,kurios vardu buvo žudomos tautos,apie kpki dieva ir jo tarnus kalbame.jei ira divas tai žmoniu širdise.",No
"nu tie tai duoda,duokit jiem bobu,gaal nebelys prie vaiku 🙆‍♀️",No
atpizdit tuos kunigus,No
Nzn ar man vienai jie visi atrodo potencialus pedofilai? ....,No
Kart,No
Sodint ten su juo manau pabendrautų atitinkamai,No
Brazen bulius kaip ir inkvizicijos laikas tiktu nes 100% jie ten visi fedofilai,No
Kastracijos?? 🙂,No
Ant kuolo,No
Pidarastu lizdas...,No
"Jie,cia ka,visi pedofilijos kenkejai,,,,,",No
Prie sienos tokius su maišais ant galvų,Yes
"Tas tipinis rusas Turkijoj. Primeta labai kultūringą, šneka su kitais lyg su šūdais. O ištiesų yra tiesiog marozas ištinusiu snukiu. Visa rusija yra blet bomžynas, beviltiška šalis. Būtų mano valia, visus juos naxui uždaryčiau tam bomžyne ir neleisčiau nė per centimetrą į normalų civilizuotą pasaulį. Absoliučiai, visa širdimi, nekenčiu rusų. Šūdo krūva visiška ta rusija.",Yes
Kaip sakoma - ruskyne viskas yra šūdas. Išskyrus myžalai.,Yes
"Nu tai aišku, visur dalbajobų yra. Bet ruskyne jų yra gerokai daugiau. Užaugau tarp ruskių, žinau juos kaip nuluptus. Eina jie naxui ir viskas. https://youtu.be/-CYHgPclI-g?si=Brh9KhYqqQPK_OHh",Yes
Mirk nahui šūde,Yes
Net nesiruošiu orkiškai skaityti,Yes
"linksma, jog pabege i vakarus nuo mobilizacijos ru marozynas taip varo, labai tiketina atsidurs fronte neuzilgo su tokiu uzsidegimu :D",Yes
"jie tai visur kai valkotos elgias, necivilizuoti bomzai, isvarai i uzsieni tai tik ziuri, kad tu parsu nebutu.",Yes
